F1_Genotype,F1_LD_ID,F1_EGG_ID,Year,ENCL,Dam,Sire
E001_15_BABY_01,NA,egg0032,2015,e001,ld0003,NA
E002_15_BABY_01,NA,egg0014,2015,e002,ld0005,NA
E002_15_BABY_02,NA,egg0015,2015,e002,ld0005,NA
E002_15_BABY_04,NA,egg0016B,2015,e002,ld0005,NA
E002_15_BABY_03,NA,egg0016A,2015,e002,ld0131,
E005_15_BABY_01,ld0162,egg0007,2015,e005,ld0125,NA
E009_15_BABY_01,ld0163,egg0008,2015,e009,ld0033,NA
E009_15_BABY_02,ld0157,egg0009,2015,e009,ld0033,NA
E009_15_BABY_03,ld0158,egg0010,2015,e009,ld0033,NA
E014_15_BABY_01,ld0155,egg0001,2015,e014,ld0035,ld0146
E014_15_BABY_02,ld0153,egg0002,2015,e014,ld0035,ld0146
E014_15_BABY_03,ld0154,egg0003,2015,e014,ld0035,ld0146
E014_15_BABY_04,ld0156,egg0004,2015,e014,ld0035,ld0146
E033_15_BABY_01,NA,egg0021,2015,e033,ld0100,NA
E033_15_BABY_02,NA,egg0022,2015,e033,ld0100,NA
E033_15_BABY_03,NA,egg0023,2015,e033,ld0100,NA
E040_15_BABY_01,NA,egg0026,2015,e040,ld0121,NA
E040_15_BABY_02,NA,egg0027,2015,e040,ld0121,NA
E042_15_BABY_01,NA,egg0024,2015,e042,NA,NA
E042_15_BABY_02,ld0160,egg0025,2015,e042,NA,NA
E043_15_BABY_01,ld0164,egg0011,2015,e043,ld0126,ld0137
E043_15_BABY_02,NA,egg0012,2015,e043,ld0126,NA
E043_15_BABY_03,ld0159,egg0013,2015,e043,ld0126,NA
E045_15_BABY_01,NA,egg0017,2015,e045,ld0131,NA
E045_15_BABY_02,NA,egg0019,2015,e045,ld0131,NA
E045_15_BABY_03,NA,egg0020,2015,e045,ld0131,NA
E046_15_BABY_01,NA,egg0029,2015,e046,ld0139,NA
E046_15_BABY_02,NA,egg0030,2015,e046,ld0139,NA
E046_15_BABY_03,NA,egg0031,2015,e046,ld0139,NA
E047_15_BABY_01,NA,egg0038,2015,e047,ld0136,NA
E047_15_BABY_02,NA,egg0039,2015,e047,ld0136,ld0143
E047_15_BABY_03,NA,egg0040,2015,e047,ld0136,NA
E048_15_BABY_02,NA,egg0042,2015,e048,ld0141,ld0140
E048_15_BABY_03,NA,egg0043,2015,e048,ld0141,ld0140
E043_16_BABY_04,ld0316,egg0152,2016,e043,ld0005,ld0095
E043_16_BABY_05,ld0355,egg0153,2016,e043,ld0005,ld0095
E043_16_BABY_06,ld0351,egg0154,2016,e043,ld0005,ld0095
E043_17_BABY_01,ld0455,egg0247,2017,e043,ld0005,ld0442
E043_17_BABY_02,ld0456,egg0246,2017,e043,ld0005,ld0442
E043_17_BABY_03,ld0493,egg0302,2017,e043,ld0005,ld0442
E043_17_BABY_08,ld0495,egg0301,2017,e043,ld0005,ld0442
E043_17_BABY_10,ld0519,egg0300,2017,e043,ld0005,ld0442
E043_17_BABY_13,ld0550,egg0386,2017,e043,ld0005,ld0442
E0M2B_16_BABY_01,ld0376,egg0198,2016,e0m2b,ld0015,ld0069
E0M2B_16_BABY_02,ld0380,egg0200,2016,e0m2b,ld0015,ld0095
E003_16_BABY_01,ld0382,egg0207,2016,e003,ld0016,ld0051
E003_16_BABY_02,ld0383,egg0208,2016,e003,ld0016,ld0051
E001_16_BABY_02,ld0258,egg0018,2016,e001,ld0019,ld0137
E0M8_17_BABY_01,ld0450,egg0237,2017,e0m8,ld0025,ld0018
E0M8_17_BABY_02,ld0454,egg0236,2017,e0m8,ld0025,ld0018
E0M8_17_BABY_03,ld0477,egg0238,2017,e0m8,ld0025,ld0018
E0M8_17_BABY_05,ld0480,egg0239,2017,e0m8,ld0025,ld0018
E024_16_BABY_01,ld0292,egg0036,2016,e024,ld0033,ld0069
E024_16_BABY_02,ld0245,egg0037,2016,e024,ld0033,ld0069
E024_16_BABY_03,ld0295,egg0038,2016,e024,ld0033,ld0069
E033_16_BABY_04,ld0238,egg0004,2016,e033,ld0035,ld0049
E033_16_BABY_05,ld0218,egg0005,2016,e033,ld0035,ld0049
E033_16_BABY_06,ld0237,egg0006,2016,e033,ld0035,ld0049
E033_16_BABY_07,ld0219,egg0007,2016,e033,ld0035,ld0049
E033_16_BABY_08,ld0216,egg0008,2016,e033,ld0035,ld0049
E0M1B_17_BABY_01,ld0471,egg0265,2017,e0m1b,ld0039,ld0150
E0M1B_17_BABY_02,ld0472,egg0264,2017,e0m1b,ld0039,ld0150
E0M1B_17_BABY_03,ld0499,egg0266,2017,e0m1b,ld0039,ld0150
E0M1B_17_BABY_04,ld0507,egg0267,2017,e0m1b,ld0039,ld0150
E027_16_BABY_01,ld0254,egg0025,2016,e027,ld0057,ld0104
E027_16_BABY_02,ld0262,egg0026,2016,e027,ld0057,ld0104
E027_16_BABY_03,ld0349,egg0144,2016,e027,ld0057,ld0104
E027_16_BABY_04,ld0297,egg0145,2016,e027,ld0057,ld0104
E027_16_BABY_05,ld0347,egg0146,2016,e027,ld0057,ld0104
E027_16_BABY_06,ld0296,egg0147,2016,e027,ld0057,ld0104
E0M6_17_BABY_02,ld0448,egg0220,2017,e0m6,ld0057,ld0075
E001_16_BABY_01,ld0227,egg0017,2016,e001,ld0062,ld0137
E001_16_BABY_03,ld0226,egg0019,2016,e001,ld0062,ld0137
E001_16_BABY_04,ld0250,egg0020,2016,e001,ld0062,ld0137
E001_17_BABY_01,ld0464,egg0261,2017,e001,ld0062,ld0011
E001_17_BABY_02,ld0466,egg0258,2017,e001,ld0062,ld0011
E001_17_BABY_03,ld0494,egg0260,2017,e001,ld0062,ld0011
E001_17_BABY_04,ld0500,egg0338,2017,e001,ld0062,ld0011
E001_17_BABY_05,ld0506,egg0337,2017,e001,ld0062,ld0011
E001_17_BABY_07,ld0532,egg0340,2017,e001,ld0062,ld0011
E001_17_BABY_08,ld0533,egg0339,2017,e001,ld0062,ld0011
E029_17_BABY_01,ld0461,egg0251,2017,e029,ld0062,ld0011
E043_16_BABY_01,ld0289,egg0136,2016,e043,ld0067,ld0095
E043_16_BABY_02,ld0344,egg0137,2016,e043,ld0067,ld0095
E043_16_BABY_03,ld0345,egg0138,2016,e043,ld0067,ld0095
E043_17_BABY_04,ld0525,egg0309,2017,e043,ld0067,ld0442
E043_17_BABY_05,ld0527,egg0311,2017,e043,ld0067,ld0442
E043_17_BABY_06,ld0490,egg0262,2017,e043,ld0067,ld0442
E043_17_BABY_07,ld0488,egg0310,2017,e043,ld0067,ld0442
E043_17_BABY_09,ld0498,egg0307,2017,e043,ld0067,ld0442
E043_17_BABY_11,ld0521,egg0308,2017,e043,ld0067,ld0442
E043_17_BABY_12,ld0542,egg0382,2017,e043,ld0067,ld0442
E006_17_BABY_01,ld0468,egg0278,2017,e006,ld0068,ld0006
