"liz_id","treatment","hatch_date","season_hatch","measure_date","measure_error","process_researcher","imgj_researcher","process_notes","egg_id","egg_laid_date","egg_length","egg_mass","egg_width","heatwave_exposed","liz_status","death_date","mass","svl","lnMass","lnSVL","obs_id"
"ld0216",29,2016-11-19,"S1",2016-11-19,0,"FK","JC","","egg0008","25/10/2016",7.61,0.109,5.24,"","DEAD",2016-12-14,0.105,17.06,-2.25379492882461,2.83673654206353,1
"ld0216",29,2016-11-19,"S1",2016-11-25,0,"FK","JC","","egg0008","25/10/2016",7.61,0.109,5.24,"","DEAD",2016-12-14,NA,NA,NA,NA,2
"ld0216",29,2016-11-19,"S1",2016-12-03,0,"JC","JC","","egg0008","25/10/2016",7.61,0.109,5.24,"","DEAD",2016-12-14,0.111,18.466,-2.1982250776698,2.91593120335044,3
"ld0217",29,2016-11-20,"S1",2016-11-20,0,"FK","JC","","egg0011","26/10/2016",8.79,0.228,6.93,"","DEAD",2016-12-23,0.134,16.42,-2.00991547903123,2.79850010402428,4
"ld0217",29,2016-11-20,"S1",2016-11-25,0,"FK","JC","","egg0011","26/10/2016",8.79,0.228,6.93,"","DEAD",2016-12-23,NA,NA,NA,NA,5
"ld0217",29,2016-11-20,"S1",2016-12-04,0,"JC","JC","","egg0011","26/10/2016",8.79,0.228,6.93,"","DEAD",2016-12-23,0.129,18.569,-2.04794287462046,2.92149352361846,6
"ld0217",29,2016-11-20,"S1",2016-12-19,0,"JC","JC","","egg0011","26/10/2016",8.79,0.228,6.93,"","DEAD",2016-12-23,0.099,19.412,-2.31263542884755,2.96589143154297,7
"ld0218",29,2016-11-20,"S1",2016-11-20,0,"FK","JC","","egg0005","25/10/2016",7.57,0.112,5.31,"","DEAD",2016-12-30,0.118,16.56,-2.13707065451647,2.80699014895711,8
"ld0218",29,2016-11-20,"S1",2016-12-04,0,"JC","JC","","egg0005","25/10/2016",7.57,0.112,5.31,"","DEAD",2016-12-30,0.126,18.571,-2.07147337203066,2.92160122421092,9
"ld0218",29,2016-11-20,"S1",2016-12-19,0,"JC","JC","","egg0005","25/10/2016",7.57,0.112,5.31,"","DEAD",2016-12-30,0.122,19.417,-2.10373423424888,2.96614897101232,10
"ld0219",29,2016-11-22,"S1",2016-11-22,0,"BS","CW","","egg0007","25/10/2016",7.34,0.122,5.29,"Y","DEAD",2018-04-03,0.133,19.76,-2.01740615076038,2.98365969231972,11
"ld0219",29,2016-11-22,"S1",2016-11-25,0,"FK","CW","","egg0007","25/10/2016",7.34,0.122,5.29,"Y","DEAD",2018-04-03,NA,NA,NA,NA,12
"ld0219",29,2016-11-22,"S1",2016-12-06,0,"JC","CW","","egg0007","25/10/2016",7.34,0.122,5.29,"Y","DEAD",2018-04-03,0.129,18.427,-2.04794287462046,2.91381698035272,13
"ld0219",29,2016-11-22,"S1",2017-01-18,0,"JC","CW","","egg0007","25/10/2016",7.34,0.122,5.29,"Y","DEAD",2018-04-03,0.151,20.54,-1.89047544216721,3.02237420450041,14
"ld0219",29,2016-11-22,"S1",2017-02-01,0,"JC","CW","","egg0007","25/10/2016",7.34,0.122,5.29,"Y","DEAD",2018-04-03,0.192,21.436,-1.65025990695436,3.0650717516326,15
"ld0219",29,2016-11-22,"S1",2017-02-23,0,"JC","CW","","egg0007","25/10/2016",7.34,0.122,5.29,"Y","DEAD",2018-04-03,0.226,23.42,-1.48722027970985,3.15359035816957,16
"ld0219",29,2016-11-22,"S1",2017-03-23,0,"JC","CW","","egg0007","25/10/2016",7.34,0.122,5.29,"Y","DEAD",2018-04-03,0.302,23.55,-1.19732826160727,3.15912582046243,17
"ld0219",29,2016-11-22,"S1",2017-04-01,0,"JC","CW","","egg0007","25/10/2016",7.34,0.122,5.29,"Y","DEAD",2018-04-03,0.136,19.57,-1.99510039324608,2.97399778140798,18
"ld0219",29,2016-11-22,"S1",2017-04-18,0,"JC","CW","","egg0007","25/10/2016",7.34,0.122,5.29,"Y","DEAD",2018-04-03,0.31,24.72,-1.17118298150295,3.20761263258949,19
"ld0219",29,2016-11-22,"S1",2017-05-19,0,"FK","CW","","egg0007","25/10/2016",7.34,0.122,5.29,"Y","DEAD",2018-04-03,0.323,26.33,-1.13010295575948,3.27070897350822,20
