"liz_id","treatment","hatch_date","season_hatch","measure_date","measure_error","process_researcher","imgj_researcher","process_notes","egg_id","egg_laid_date","egg_length","egg_mass","egg_width","heatwave_exposed","liz_status","death_date","mass","svl","lnMass","lnSVL","obs_id","days_since_hatch","F1_Genotype","dam_id","sire_id","lnEgg_mass","z_lnEggMass","series","hatch_since_start","z_hatch_since_start","z_days_since_hatch"
"ld0230",23,"2016-12-07","S1","2016-12-07",0,"FK","CW","","egg0009","2016-10-26",9.09,0.255,7.35,"","DEAD","2017-11-03",0.135,18.523,-2.00248050054371,2.91901320314059,101,0,"E45_16_BABY_01","ld0125","ld0107",-1.36649173382371,2.86751282840605,"ld0230_2016-12-07",18,-1.16584053234535,-1.14843485129869
"ld0230",23,"2016-12-07","S1","2016-12-21",0,"JC","CW","","egg0009","2016-10-26",9.09,0.255,7.35,"","DEAD","2017-11-03",0.138,NA,-1.98050159382493,NA,102,14,"E45_16_BABY_01","ld0125","ld0107",-1.36649173382371,2.86751282840605,"ld0230_2016-12-21",18,-1.16584053234535,-1.05957161926803
"ld0230",23,"2016-12-07","S1","2017-01-04",0,"JC","CW","","egg0009","2016-10-26",9.09,0.255,7.35,"","DEAD","2017-11-03",0.181,21.32,-1.70925824771631,3.05964559929764,103,28,"E45_16_BABY_01","ld0125","ld0107",-1.36649173382371,2.86751282840605,"ld0230_2017-01-04",18,-1.16584053234535,-0.970708387237368
"ld0230",23,"2016-12-07","S1","2017-01-18",0,"JC","CW","","egg0009","2016-10-26",9.09,0.255,7.35,"","DEAD","2017-11-03",0.178,21.67,-1.72597172869005,3.07592881554827,104,42,"E45_16_BABY_01","ld0125","ld0107",-1.36649173382371,2.86751282840605,"ld0230_2017-01-18",18,-1.16584053234535,-0.881845155206707
"ld0230",23,"2016-12-07","S1","2017-02-01",0,"JC","CW","","egg0009","2016-10-26",9.09,0.255,7.35,"","DEAD","2017-11-03",0.221,21.603,-1.50959257746438,3.07283219393484,105,56,"E45_16_BABY_01","ld0125","ld0107",-1.36649173382371,2.86751282840605,"ld0230_2017-02-01",18,-1.16584053234535,-0.792981923176047
"ld0230",23,"2016-12-07","S1","2017-02-23",0,"JC","CW","","egg0009","2016-10-26",9.09,0.255,7.35,"","DEAD","2017-11-03",0.242,22.48,-1.41881755282545,3.11262602502549,106,78,"E45_16_BABY_01","ld0125","ld0107",-1.36649173382371,2.86751282840605,"ld0230_2017-02-23",18,-1.16584053234535,-0.653339701413581
"ld0230",23,"2016-12-07","S1","2017-03-23",0,"JC","CW","","egg0009","2016-10-26",9.09,0.255,7.35,"","DEAD","2017-11-03",0.265,24.78,-1.32802545299591,3.210036876201,107,106,"E45_16_BABY_01","ld0125","ld0107",-1.36649173382371,2.86751282840605,"ld0230_2017-03-23",18,-1.16584053234535,-0.47561323735226
"ld0230",23,"2016-12-07","S1","2017-04-18",0,"JC","CW","","egg0009","2016-10-26",9.09,0.255,7.35,"","DEAD","2017-11-03",0.303,24.32,-1.19402247347277,3.19129905709797,108,132,"E45_16_BABY_01","ld0125","ld0107",-1.36649173382371,2.86751282840605,"ld0230_2017-04-18",18,-1.16584053234535,-0.310581520723891
"ld0230",23,"2016-12-07","S1","2017-05-19",0,"FK","CW","","egg0009","2016-10-26",9.09,0.255,7.35,"","DEAD","2017-11-03",0.345,25.42,-1.06421086195078,3.23553626576131,109,163,"E45_16_BABY_01","ld0125","ld0107",-1.36649173382371,2.86751282840605,"ld0230_2017-05-19",18,-1.16584053234535,-0.113812935513143
"ld0230",23,"2016-12-07","S1","2017-07-20",0,"FK","CW","","egg0009","2016-10-26",9.09,0.255,7.35,"","DEAD","2017-11-03",0.373,27,-0.986176859338322,3.29583686600433,110,225,"E45_16_BABY_01","ld0125","ld0107",-1.36649173382371,2.86751282840605,"ld0230_2017-07-20",18,-1.16584053234535,0.279724234908352
"ld0230",23,"2016-12-07","S1","2017-09-15",0,"FK","CW","","egg0009","2016-10-26",9.09,0.255,7.35,"","DEAD","2017-11-03",0.363,27,-1.01335244471729,3.29583686600433,111,282,"E45_16_BABY_01","ld0125","ld0107",-1.36649173382371,2.86751282840605,"ld0230_2017-09-15",18,-1.16584053234535,0.641524536747469
