"liz_id","treatment","hatch_date","season_hatch","measure_date","measure_error","process_researcher","imgj_researcher","process_notes","egg_id","egg_laid_date","egg_length","egg_mass","egg_width","heatwave_exposed","liz_status","death_date","mass","svl","lnMass","lnSVL","obs_id","days_since_hatch","F1_Genotype","dam_id","sire_id","lnEgg_mass","z_lnEggMass","series","id"
"ld0216",29,"2016-11-19","S1","2016-11-19",0,"FK","JC","","egg0008","2016-10-25",7.61,0.109,5.24,"","DEAD","2016-12-14",0.105,17.06,-2.25379492882461,2.83673654206353,1,0,"E033_16_BABY_08","ld0035","ld0049",-2.21640739675299,-1.43940026213559,"ld0216_2016-11-19","ld0216"
"ld0216",29,"2016-11-19","S1","2016-11-25",0,"FK","JC","","egg0008","2016-10-25",7.61,0.109,5.24,"","DEAD","2016-12-14",NA,NA,NA,NA,2,6,"E033_16_BABY_08","ld0035","ld0049",-2.21640739675299,-1.43940026213559,"ld0216_2016-11-25","ld0216"
"ld0216",29,"2016-11-19","S1","2016-12-03",0,"JC","JC","","egg0008","2016-10-25",7.61,0.109,5.24,"","DEAD","2016-12-14",0.111,18.466,-2.1982250776698,2.91593120335044,3,14,"E033_16_BABY_08","ld0035","ld0049",-2.21640739675299,-1.43940026213559,"ld0216_2016-12-03","ld0216"
"ld0217",29,"2016-11-20","S1","2016-11-20",0,"FK","JC","","egg0011","2016-10-26",8.79,0.228,6.93,"","DEAD","2016-12-23",0.134,16.42,-2.00991547903123,2.79850010402428,4,0,"E45_16_BABY_03","ld0125","ld0107",-1.4784096500277,2.30037333517233,"ld0217_2016-11-20","ld0217"
"ld0217",29,"2016-11-20","S1","2016-11-25",0,"FK","JC","","egg0011","2016-10-26",8.79,0.228,6.93,"","DEAD","2016-12-23",NA,NA,NA,NA,5,5,"E45_16_BABY_03","ld0125","ld0107",-1.4784096500277,2.30037333517233,"ld0217_2016-11-25","ld0217"
"ld0217",29,"2016-11-20","S1","2016-12-04",0,"JC","JC","","egg0011","2016-10-26",8.79,0.228,6.93,"","DEAD","2016-12-23",0.129,18.569,-2.04794287462046,2.92149352361846,6,14,"E45_16_BABY_03","ld0125","ld0107",-1.4784096500277,2.30037333517233,"ld0217_2016-12-04","ld0217"
"ld0217",29,"2016-11-20","S1","2016-12-19",0,"JC","JC","","egg0011","2016-10-26",8.79,0.228,6.93,"","DEAD","2016-12-23",0.099,19.412,-2.31263542884755,2.96589143154297,7,29,"E45_16_BABY_03","ld0125","ld0107",-1.4784096500277,2.30037333517233,"ld0217_2016-12-19","ld0217"
"ld0218",29,"2016-11-20","S1","2016-11-20",0,"FK","JC","","egg0005","2016-10-25",7.57,0.112,5.31,"","DEAD","2016-12-30",0.118,16.56,-2.13707065451647,2.80699014895711,8,0,"E033_16_BABY_05","ld0035","ld0049",-2.18925640768704,-1.30181372816554,"ld0218_2016-11-20","ld0218"
"ld0218",29,"2016-11-20","S1","2016-12-04",0,"JC","JC","","egg0005","2016-10-25",7.57,0.112,5.31,"","DEAD","2016-12-30",0.126,18.571,-2.07147337203066,2.92160122421092,9,14,"E033_16_BABY_05","ld0035","ld0049",-2.18925640768704,-1.30181372816554,"ld0218_2016-12-04","ld0218"
"ld0218",29,"2016-11-20","S1","2016-12-19",0,"JC","JC","","egg0005","2016-10-25",7.57,0.112,5.31,"","DEAD","2016-12-30",0.122,19.417,-2.10373423424888,2.96614897101232,10,29,"E033_16_BABY_05","ld0035","ld0049",-2.18925640768704,-1.30181372816554,"ld0218_2016-12-19","ld0218"
